                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.95882,                0.52167,                 1.0643,                 1.0295,                 0.5048,                 1.0452,                0.94858,                0.88628,                0.94871,                0.67001,                 1.0759,                0.48093,                 1.0417,                 1.1131,                0.41914,                 1.0314,             0.00044563,             0.00044563,             0.00044563
                     68,                0.95918,                0.52567,                 1.0675,                 1.0276,                0.53456,                 1.0549,                0.92362,                0.90364,                0.94246,                0.66581,                 1.0637,                0.47438,                 1.0263,                 1.0854,                0.46938,                 1.0173,             0.00043325,             0.00043325,             0.00043325
                     69,                0.93914,                0.52107,                 1.0614,                 1.0111,                0.51811,                 1.0462,                0.94634,                0.89519,                0.95252,                0.67381,                 1.0368,                0.45844,                 1.0347,                 1.0739,                0.41965,                 1.0233,             0.00042087,             0.00042087,             0.00042087
                     70,                0.93997,                0.51508,                 1.0602,                 1.0118,                0.51839,                 1.0451,                0.93183,                0.90272,                0.93428,                0.67199,                  1.037,                0.45662,                 1.0227,                 1.0601,                0.43246,                 1.0127,              0.0004085,              0.0004085,              0.0004085
                     71,                0.93614,                0.50317,                 1.0568,                 1.0035,                0.49369,                 1.0414,                0.93972,                0.88627,                0.94849,                0.68576,                   1.03,                0.44952,                 1.0193,                 1.0449,                 0.4305,                 1.0035,             0.00039613,             0.00039613,             0.00039613
                     72,                0.93513,                0.49828,                 1.0495,                0.99519,                0.50233,                 1.0358,                 0.9137,                 0.9006,                0.93987,                0.67322,                 1.0601,                0.47813,                 1.0243,                 1.0854,                  0.436,                 1.0108,             0.00038375,             0.00038375,             0.00038375
                     73,                  0.931,                0.49931,                 1.0455,                 0.9987,                0.48205,                 1.0327,                0.93979,                0.91559,                0.95072,                0.67664,                 1.0479,                0.46522,                 1.0238,                 1.0806,                0.43745,                 1.0152,             0.00037138,             0.00037138,             0.00037138
                     74,                0.93737,                 0.5049,                 1.0498,                  1.001,                0.50198,                 1.0367,                0.93958,                0.91813,                0.95281,                0.68502,                 1.0252,                 0.4582,                 1.0108,                 1.0593,                0.42424,                 1.0046,               0.000359,               0.000359,               0.000359
                     75,                0.91881,                0.50173,                 1.0472,                0.98736,                0.50205,                 1.0335,                0.93493,                0.92188,                0.94701,                 0.6806,                 1.0375,                0.46601,                 1.0189,                 1.0679,                  0.437,                 1.0109,             0.00034663,             0.00034663,             0.00034663
                     76,                0.92045,                0.50756,                 1.0501,                0.98781,                0.50529,                 1.0376,                0.95753,                0.90172,                0.95228,                0.67944,                 1.0557,                0.45538,                 1.0346,                 1.0919,                0.41282,                 1.0273,             0.00033425,             0.00033425,             0.00033425
                     77,                0.90697,                 0.4953,                   1.04,                0.96825,                0.48437,                 1.0281,                0.92421,                0.92476,                0.94811,                0.68683,                 1.0387,                0.45868,                 1.0186,                  1.062,                0.41943,                 1.0098,             0.00032188,             0.00032188,             0.00032188
                     78,                0.91315,                0.49425,                 1.0413,                0.97575,                0.49527,                 1.0276,                0.92048,                0.90902,                0.94885,                 0.6817,                  1.027,                0.45596,                 1.0164,                 1.0471,                0.40022,                  1.007,              0.0003095,              0.0003095,              0.0003095
                     79,                0.89964,                0.48797,                 1.0373,                 0.9633,                0.48055,                 1.0215,                0.93806,                0.90839,                0.94453,                0.67345,                 1.0368,                0.46628,                 1.0206,                 1.0622,                0.42765,                 1.0118,             0.00029713,             0.00029713,             0.00029713
